time,.layout.dim,.layout.data_offset,.data
2022/07/07/23:33:41.653813,[],0,"(-0.7966116032864498, -0.5894403541962959, 0.2)"
2022/07/07/23:33:41.753502,[],0,"(-0.7120199049483629, -0.810309242922266, 0.2)"
2022/07/07/23:33:41.853497,[],0,"(-0.5972815370701932, -0.8864277463562846, 0.2)"
2022/07/07/23:33:41.953655,[],0,"(-0.46160707829903247, -0.8991887034975521, 0.2)"
2022/07/07/23:33:42.053673,[],0,"(-0.2954784313630727, -0.8925393200682258, 0.2)"
2022/07/07/23:33:42.153394,[],0,"(-0.07436730949812656, -0.8768184128946391, 0.2)"
2022/07/07/23:33:42.253600,[],0,"(0.22515210033052716, -0.8499035523887073, 0.2)"
2022/07/07/23:33:42.353432,[],0,"(0.5636565307417241, -0.8020408392173215, 0.2)"
2022/07/07/23:33:42.453640,[],0,"(0.7982952330620631, -0.720492174504568, 0.2)"
2022/07/07/23:33:42.553692,[],0,"(0.8834785985822351, -0.6077443677505688, 0.2)"
2022/07/07/23:33:42.653712,[],0,"(0.8991594193080565, -0.4739250362120732, 0.2)"
2022/07/07/23:33:42.753484,[],0,"(0.8934790397023404, -0.31114665347449283, 0.2)"
2022/07/07/23:33:42.853717,[],0,"(0.8784883782499999, -0.09578868742739989, 0.2)"
2022/07/07/23:33:42.953682,[],0,"(0.8527871511346004, 0.19710757944059673, 0.2)"
2022/07/07/23:33:43.053687,[],0,"(0.8072211972976862, 0.5370564896514309, 0.2)"
2022/07/07/23:33:43.153647,[],0,"(0.7287367390816581, 0.7851363200859501, 0.2)"
2022/07/07/23:33:43.253661,[],0,"(0.6180722408045344, 0.88007739181944, 0.2)"
2022/07/07/23:33:43.353691,[],0,"(0.4860471622012459, 0.8989989840487913, 0.2)"
2022/07/07/23:33:43.453797,[],0,"(0.32644713152306126, 0.894359375266707, 0.2)"
2022/07/07/23:33:43.553711,[],0,"(0.1166361561786548, 0.8800869119852567, 0.2)"
2022/07/07/23:33:43.653646,[],0,"(-0.16949085005988043, 0.8555344307433501, 0.2)"
2022/07/07/23:33:43.753783,[],0,"(-0.5097487637259477, 0.8121598491619363, 0.2)"
2022/07/07/23:33:43.853691,[],0,"(-0.7707891038143959, 0.7367435622594513, 0.2)"
2022/07/07/23:33:43.953664,[],0,"(-0.8761765643780882, 0.6282629361399525, 0.2)"
2022/07/07/23:33:44.053705,[],0,"(-0.8986938356229538, 0.49798345134920574, 0.2)"
2022/07/07/23:33:44.153266,[],0,"(-0.8951785752860546, 0.3413971707525523, 0.2)"
2022/07/07/23:33:44.153281,[],0,"(-0.8951785752860546, 0.3413971707525523, 0.2)"
2022/07/07/23:33:44.253240,[],0,"(-0.8951785752860546, 0.3413971707525523, 0.2)"
2022/07/07/23:33:44.353499,[],0,"(-0.8951785752860546, 0.3413971707525523, 0.2)"
2022/07/07/23:33:44.453584,[],0,"(-0.8951785752860546, 0.3413971707525523, 0.2)"
2022/07/07/23:33:44.553606,[],0,"(-0.8951785752860546, 0.3413971707525523, 0.2)"
2022/07/07/23:33:44.653691,[],0,"(-0.8951785752860546, 0.3413971707525523, 0.2)"
2022/07/07/23:33:44.753600,[],0,"(-0.8951785752860546, 0.3413971707525523, 0.2)"
2022/07/07/23:33:44.853582,[],0,"(-0.8951785752860546, 0.3413971707525523, 0.2)"
2022/07/07/23:33:45.053236,[],0,"(-0.8816170221755221, 0.13692275579077723, 0.2)"
2022/07/07/23:33:45.153364,[],0,"(-0.8581529612322656, -0.14234925950262975, 0.2)"
2022/07/07/23:33:45.253831,[],0,"(-0.8168647791784548, -0.48184706945977024, 0.2)"
2022/07/07/23:33:45.353657,[],0,"(-0.7445037346462589, -0.7552198690552298, 0.2)"
2022/07/07/23:33:45.453407,[],0,"(-0.6383130653597017, -0.8717248948353358, 0.2)"
2022/07/07/23:33:45.553453,[],0,"(-0.5097432552404672, -0.8982286330678202, 0.2)"
2022/07/07/23:33:45.653697,[],0,"(-0.356013802360139, -0.8959343440682725, 0.2)"
2022/07/07/23:33:45.753633,[],0,"(-0.15666337640318265, -0.8830813848903649, 0.2)"
2022/07/07/23:33:45.853723,[],0,"(0.11572144920509513, -0.860649951989122, 0.2)"
2022/07/07/23:33:45.953729,[],0,"(0.4534676733932486, -0.821344612426561, 0.2)"
2022/07/07/23:33:46.053536,[],0,"(0.7384062715122067, -0.7520097668018649, 0.2)"
2022/07/07/23:33:46.153675,[],0,"(0.8666676190851678, -0.6482180762399851, 0.2)"
2022/07/07/23:33:46.253671,[],0,"(0.89758606436083, -0.5213352491072755, 0.2)"
2022/07/07/23:33:46.353658,[],0,"(0.8966237895975783, -0.37031373310795734, 0.2)"
2022/07/07/23:33:46.453758,[],0,"(0.8844823427499429, -0.1758743990563935, 0.2)"
2022/07/07/23:33:46.553446,[],0,"(0.8630322395887042, 0.08963788878472839, 0.2)"
2022/07/07/23:33:46.653520,[],0,"(0.8256084382403126, 0.42472692050439353, 0.2)"
2022/07/07/23:33:46.654121,[],0,"(0.8256084382403126, 0.42472692050439353, 0.2)"
2022/07/07/23:33:46.753833,[],0,"(0.8256084382403126, 0.42472692050439353, 0.2)"
2022/07/07/23:33:46.853610,[],0,"(0.8256084382403126, 0.42472692050439353, 0.2)"
2022/07/07/23:33:46.953587,[],0,"(0.8256084382403126, 0.42472692050439353, 0.2)"
2022/07/07/23:33:47.053697,[],0,"(0.8256084382403126, 0.42472692050439353, 0.2)"
2022/07/07/23:33:47.253794,[],0,"(0.7592557933920301, 0.7203388321981359, 0.2)"
2022/07/07/23:33:47.353632,[],0,"(0.6579722456409921, 0.8609466780413788, 0.2)"
2022/07/07/23:33:47.453609,[],0,"(0.5327673571153576, 0.8967466376618105, 0.2)"
2022/07/07/23:33:47.553663,[],0,"(0.3843132583066377, 0.8972433602480415, 0.2)"
2022/07/07/23:33:47.653793,[],0,"(0.1945733188080869, 0.8858218966561107, 0.2)"
2022/07/07/23:33:47.753682,[],0,"(-0.06412157670532039, 0.8653062736362125, 0.2)"
2022/07/07/23:33:47.853671,[],0,"(-0.3957390436243918, 0.8296656365781323, 0.2)"
2022/07/07/23:33:47.953631,[],0,"(-0.7010221709183491, 0.7662376847857049, 0.2)"
2022/07/07/23:33:48.053636,[],0,"(-0.8545011344533405, 0.6675686759874203, 0.2)"
2022/07/07/23:33:48.153621,[],0,"(-0.8956884613363383, 0.5440466459064828, 0.2)"
2022/07/07/23:33:48.253535,[],0,"(-0.8977887714356759, 0.39802815119554863, 0.2)"
2022/07/07/23:33:48.353643,[],0,"(-0.887101692480367, 0.21277836980169867, 0.2)"
2022/07/07/23:33:48.453408,[],0,"(-0.8674781030627287, -0.03918884528711898, 0.2)"
2022/07/07/23:33:48.553708,[],0,"(-0.8335257160231555, -0.36661431566439556, 0.2)"
2022/07/07/23:33:48.653663,[],0,"(-0.7729530749711843, -0.6804759062496786, 0.2)"
2022/07/07/23:33:48.753680,[],0,"(-0.6769993181897375, -0.8472677963170979, 0.2)"
2022/07/07/23:33:48.853718,[],0,"(-0.5551792038158703, -0.8943870199004346, 0.2)"
2022/07/07/23:33:48.953789,[],0,"(-0.41147354893570026, -0.8982549238642719, 0.2)"
2022/07/07/23:33:48.954385,[],0,"(-0.41147354893570026, -0.8982549238642719, 0.2)"
2022/07/07/23:33:49.053882,[],0,"(-0.41147354893570026, -0.8982549238642719, 0.2)"
2022/07/07/23:33:49.153624,[],0,"(-0.41147354893570026, -0.8982549238642719, 0.2)"
